optimizer,score,lr,C,p,val_acc,sparsity,train_steps
Lasso_global,first order,0.001,5.0,,0.085,0.9989664574179534,16
Lasso_global,first order,0.0005,0.01,,0.16,0.06288170170243376,16
Lasso_global,first order,0.0005,0.05,,0.168,0.2045116046535996,16
Lasso_global,first order,0.0005,0.1,,0.18,0.2975645453257664,16
Lasso_global,first order,0.0005,0.2,,0.154,0.42644901072137187,16
Lasso_global,first order,0.0005,0.5,,0.115,0.674000051008791,16
Lasso_global,first order,0.0005,1.0,,0.107,0.9530236690008822,16
Lasso_global,first order,0.0005,2.0,,0.085,0.9925064705880545,16
Lasso_global,first order,0.0005,5.0,,0.126,0.9957118814531114,16
Lasso_global,second order,0.001,0.01,,0.247,0.00510979027704841,16
Lasso_global,second order,0.001,0.05,,0.228,0.02607809077168004,16
Lasso_global,second order,0.001,0.1,,0.171,0.05153516487669854,16
Lasso_global,second order,0.001,0.2,,0.19,0.08057622111511978,16
Lasso_global,second order,0.001,0.5,,0.137,0.15970913926967087,16
Lasso_global,second order,0.001,1.0,,0.101,0.2472571251752659,16
Lasso_global,second order,0.001,2.0,,0.087,0.4206844027715596,16
Lasso_global,second order,0.001,5.0,,0.085,0.9999705009401288,16
Lasso_global,second order,0.0005,0.01,,0.104,0.003083419961214882,16
Lasso_global,second order,0.0005,0.05,,0.154,0.013728432269390332,16
Lasso_global,second order,0.0005,0.1,,0.131,0.02705632261646828,16
Lasso_global,second order,0.0005,0.2,,0.191,0.05292945637841886,16
Lasso_global,second order,0.0005,0.5,,0.097,0.10014316262493697,16
Lasso_global,second order,0.0005,1.0,,0.166,0.15449564136026311,16
Lasso_global,second order,0.0005,2.0,,0.122,0.2594142715837093,16
Lasso_global,second order,0.0005,5.0,,0.094,0.7871799544055156,16
Lasso_global,first order + second order,0.001,0.01,,0.206,0.004791138974065717,16
Lasso_global,first order + second order,0.001,0.05,,0.214,0.017429642437593356,16
Lasso_global,first order + second order,0.001,0.1,,0.311,0.030111472645306683,16
Lasso_global,first order + second order,0.001,0.2,,0.245,0.05407146946186647,16
Lasso_global,first order + second order,0.001,0.5,,0.281,0.13580307042193795,16
Lasso_global,first order + second order,0.001,1.0,,0.237,0.20769028199564826,16
Lasso_global,first order + second order,0.001,2.0,,0.27,0.3610359209437487,16
Lasso_global,first order + second order,0.001,5.0,,0.185,0.6620675276499912,16
Lasso_global,first order + second order,0.0005,0.01,,0.117,0.0033753377411893837,16
Lasso_global,first order + second order,0.0005,0.05,,0.139,0.011253430418017043,16
